Ticker,Date,SEC Filing Count TTM,SEC Annual Revenue Growth,SEC Quarterly Revenue Growth,SEC Net Income Margin,SEC Debt To Assets,SEC RnD Intensity,SEC Filing Lag Days,SEC Text Risk Score
AAPL,2010-10-27,4,0.520,0.610,0.214,0.000,0.027,26,0.31
AAPL,2011-10-26,4,0.660,0.740,0.239,0.000,0.022,25,0.29
AAPL,2012-10-31,4,0.450,0.270,0.267,0.000,0.021,28,0.30
MSFT,2010-07-30,4,0.070,0.220,0.304,0.108,0.130,31,0.34
MSFT,2011-07-28,4,0.120,0.080,0.331,0.095,0.124,28,0.32
MSFT,2012-07-26,4,0.050,0.040,0.235,0.105,0.131,27,0.35
GOOG,2010-02-12,4,0.240,0.230,0.293,0.028,0.134,43,0.28
GOOG,2011-02-11,4,0.240,0.270,0.291,0.025,0.136,42,0.27
GOOG,2012-01-26,4,0.290,0.250,0.258,0.022,0.136,25,0.29
AMZN,2010-01-29,4,0.280,0.360,0.037,0.033,0.059,29,0.38
AMZN,2011-01-28,4,0.400,0.360,0.033,0.024,0.061,28,0.39
AMZN,2012-02-01,4,0.410,0.350,0.018,0.021,0.066,32,0.42
WMT,2010-03-30,4,0.010,0.030,0.034,0.246,0.000,59,0.26
WMT,2011-03-30,4,0.034,0.045,0.036,0.252,0.000,58,0.25
WMT,2012-03-27,4,0.059,0.056,0.035,0.247,0.000,55,0.26
XOM,2010-02-26,4,-0.350,0.180,0.082,0.051,0.004,57,0.44
XOM,2011-02-25,4,0.260,0.250,0.087,0.046,0.004,56,0.40
XOM,2012-02-24,4,0.270,0.150,0.097,0.043,0.004,55,0.39
BAC,2010-02-26,4,-0.060,-0.120,-0.026,0.296,0.000,57,0.57
BAC,2011-02-28,4,-0.140,-0.080,-0.015,0.281,0.000,59,0.54
BAC,2012-02-23,4,-0.130,0.020,0.009,0.264,0.000,54,0.49
JPM,2010-02-24,4,0.490,0.150,0.145,0.260,0.000,55,0.42
JPM,2011-02-28,4,0.040,0.070,0.172,0.249,0.000,59,0.39
JPM,2012-02-29,4,0.050,0.010,0.168,0.244,0.000,60,0.41
JNJ,2010-02-22,4,-0.030,0.020,0.198,0.156,0.116,53,0.24
JNJ,2011-02-23,4,0.006,0.036,0.213,0.149,0.119,54,0.23
JNJ,2012-02-24,4,0.056,0.039,0.163,0.166,0.126,55,0.26
PFE,2010-02-26,4,0.040,0.340,0.129,0.265,0.144,57,0.35
PFE,2011-02-28,4,0.360,-0.010,0.124,0.255,0.137,59,0.34
PFE,2012-02-29,4,-0.100,-0.050,0.146,0.243,0.139,60,0.33
GE,2010-02-26,4,-0.140,-0.040,0.073,0.394,0.027,57,0.47
GE,2011-02-25,4,0.030,0.060,0.087,0.371,0.025,56,0.43
GE,2012-02-24,4,0.020,0.080,0.092,0.354,0.024,55,0.41
F,2010-02-25,4,-0.190,0.090,0.020,0.751,0.037,56,0.59
F,2011-02-18,4,0.090,0.150,0.061,0.684,0.035,49,0.50
F,2012-02-21,4,0.130,0.110,0.145,0.642,0.034,52,0.48
IBM,2010-02-23,4,-0.080,0.010,0.149,0.363,0.060,54,0.30
IBM,2011-02-22,4,0.040,0.060,0.149,0.346,0.058,53,0.29
IBM,2012-02-28,4,0.070,0.020,0.151,0.335,0.057,59,0.30
