Ticker,votes,avg_probability
ma,54,0.7772605934518203
aapl,53,0.8176149558556086
dfs,51,0.6207919769382164
bac,45,0.6439058139547694
wmt,42,0.716613472375763
pfe,40,0.7411587695269967
fslr,40,0.5628632501481949
jpm,34,0.596708648964166
hov,30,0.6417653246839848
ges,29,0.5659258302531665
s,26,0.6679379326207003
znga,26,0.6448014457953856
amd,26,0.6025387498979586
gnw,25,0.5418323788817121
aeo,24,0.5845303330522983
rsh,24,0.569393773404798
goog,23,0.55875783772594
v,22,0.7113288825685165
siri,21,0.60167559052799
ge,21,0.579126816946645
gme,19,0.6099678215176302
wfc,18,0.6583273705905452
sfly,16,0.6686145445071797
mpc,16,0.6652446971551813
grpn,15,0.6854040213472188
