Ticker,Sector,predicted_outperformance_probability
JCP,Unknown,0.7657828716563285
HOV,Unknown,0.6615625668693053
ALTR,Unknown,0.6477412063832618
AVP,Unknown,0.6437901469410744
GTN,Unknown,0.6376180996044298
SHLD,Unknown,0.6319356427460461
FSLR,Unknown,0.6311033770290313
GRPN,Unknown,0.6305305522566275
SD,Unknown,0.627364054760794
ZNGA,Unknown,0.6159328949987408
EXPR,Unknown,0.6154998767467135
SCHL,Unknown,0.6047941295431757
NBR,Unknown,0.601900615866552
GES,Unknown,0.5918321530846156
GME,Unknown,0.5911507613017275
CAMP,Unknown,0.5823601861099443
RDC,Unknown,0.5802857057529583
FTR,Unknown,0.5767477581706223
QDEL,Unknown,0.57545851097126
NE,Unknown,0.5725487716437502
PBI,Unknown,0.5659025191408225
WIN,Unknown,0.5642826909185135
ANF,Unknown,0.5642255115385225
LIFE,Unknown,0.5619569551179788
GT,Unknown,0.5609534141792352
